folio,head_a,head_e,head_o,head_k,head_t,head_headless,mod_p,mod_f,mod_i,mod_c,mod_d,mod_s,term_y,term_n,term_l,term_r,term_m,term_h,pfx_qo,pfx_ch,pfx_sh,pfx_ok,pfx_ot,pfx_da,pfx_ol,pfx_ct,pfx_bare,e_depth_mean,i_depth_mean,mean_atom_length,token_count,section
f108r,-0.019020270178270376,0.04616610266492199,-0.0037589830898034776,0.04124498982896803,-0.014829419782366661,-0.04771598720602335,-0.006086460032982386,0.005707152973252191,-0.15355405394079685,-0.015254600488959887,0.13822386502816358,-0.017960850778796354,0.1300219294387936,-0.07500573100519245,0.02389443102996726,-0.026497978953068976,0.010774485997958588,0.0015717497715873074,0.019202876631966598,-0.009927673509815244,-0.037934780349574676,0.07731597881174179,-0.0001084876750346575,0.0008963636865676194,-0.010730300318718577,0.0004558491502961448,-0.039169826427428944,0.11747305597149404,-0.010949448538468243,-0.030706112423886545,27.043478260869563,Stars
f108v,-0.0375896059413032,0.12449532694762466,-0.05437176759689606,0.05550518206107578,-0.015272482632975874,-0.07187005873923522,-0.01887096712556108,-0.0027217604508375653,-0.1271739488920242,-0.03747563168201381,0.0642252228014154,-0.022255701959701772,0.08175666342242882,-0.0381207486919756,0.026942274671658065,-0.03738517658053887,0.007165667617996464,-0.00046491010621309975,0.04031982378600238,-0.03170206876475504,0.03072924223233836,0.016359105977926086,-0.01581578034663219,0.0031152510271185846,-0.0007077898674376255,0.0019279612023202991,-0.04422574524688083,0.34874471781449257,-0.04629554574023542,-0.017667916118459193,106.04347826086956,Stars
f111r,-0.03862395076100719,0.15433131757566054,-0.0718013350007477,0.02163467517496802,-0.020541355139976274,-0.05186891581678249,-0.015865081074929618,-0.00284748192063584,-0.14589501866743995,-0.020571808606409482,0.048481466015313335,-0.016746815737631943,0.08013371353957838,-0.04655551639298708,-0.007922574748308805,-0.04079108548961939,0.011165896202487004,-0.00046491010621309975,-0.007340042492070653,0.0022027257949340795,0.023934568250967986,-0.002956283472899668,-0.008689658853975463,0.010247087132038868,-0.01073693438998177,-0.0015808107275042623,-0.005080651241509082,0.2889870173744674,-0.15118535941658084,-0.07043093114788945,150.04347826086956,Stars
f111v,0.03398371238124112,0.03326725677218606,-0.06942946531713248,0.01913216395431154,-0.013039627768542061,-0.00844947519481265,-0.008119489501018443,-0.0026936152214539462,-0.011412620437197318,-0.026189394699182397,-0.10511524065669509,-0.018465477736041017,-0.0531903297288987,0.08570887885282222,0.009670485573243584,-0.00737298031447263,-0.004749146154402445,-0.00046491010621309975,-0.002648559739656664,0.039017510933152866,0.023702316629561362,0.0035061178927398573,-0.020206436130476825,-0.019466604681672106,-0.012763329786754634,-0.0015808107275042623,-0.009560204389389537,-0.043524725848139934,-0.32489299002691996,-0.2347895973268277,97.04347826086956,Stars
f112r,0.024695548569338865,-0.01580211717028429,-0.004100149465272582,0.00013961077244813158,-0.020500018477663737,0.014112664566491046,0.00046290053852298535,-0.0019380753497599988,-0.11453702663714846,-0.023556315625374746,-0.007686790734963589,-0.02360043434905078,0.08679718350435955,-0.06422280586536594,-0.019686988842457176,0.009226275908551879,0.01014901430959857,-0.00046491010621309975,-0.02299837017606013,-0.08061114348200502,-0.04366740929495704,0.05300528996581459,0.03621022374990357,-0.01596035677411037,0.0059713445167461875,-0.0015808107275042623,0.06963123222217249,0.06642216015129909,-0.02355449055527492,-0.22176445187409177,-69.95652173913044,Stars
f112v,0.0126534716321485,0.027644766812346733,0.023983759775752442,0.008432681532646272,-0.00960771831253622,-0.05935684800154761,-0.0006929920674338362,0.00034313069268388906,0.04257874609846407,-0.014076773089750014,0.03450634729940738,-0.01701368124526508,-0.0026652346963620954,0.04450448910130278,0.016267998620083338,-0.014704982118480106,0.015451442295654465,-0.00046491010621309975,-0.003941431762507441,0.016067958713579356,-0.03380256922401337,0.00815788002146868,-0.0031757465271437108,-0.00963046869387063,-0.005336832353170028,-0.0015808107275042623,0.033242020553161444,0.1388947917946236,0.1056953745283733,0.14489813756997894,-48.95652173913044,Stars
f113r,-0.0054281211482394565,-0.008560285055355776,0.038664878071328554,-0.011649190356454522,-0.014385129114043407,0.005587097665289614,-0.005005221680868269,0.001315359375755945,0.03927595966314751,0.0202768576494229,-0.054822396246203636,0.035137781749571405,-0.04215446575185822,0.0014240592738850033,0.01260237085807002,0.020211517858260836,-0.008617032375229844,-0.00046491010621309975,-0.042793364590343885,0.08349132011284438,0.029015498413331384,-0.00765362856112424,-0.017549845238591814,-0.020213340722525792,-0.01351006582760832,0.0042106950640015284,-0.014997268649983186,-0.024546618634738615,0.19262198003296027,0.15996535625165542,54.04347826086956,Stars
f113v,0.10991433135496462,-0.04328110787638734,0.0032226359485018896,-0.023566714800074995,-0.009939735315831241,-0.04271575335154887,0.006847818355887842,-0.0003007810712822058,0.09962530393733521,-0.005424208761455621,-0.09583044873651081,0.005462863765676389,-0.09689769690427519,0.026278767844668732,0.019115295951370917,0.07422526915802466,0.0054808710754919755,0.0037104552382545408,-0.0491208970139097,-0.05065236726675115,-0.04506096397210804,0.01841016263836634,0.0706728839027177,-0.010762344841467281,0.02308080479248986,0.006769919961431019,0.036662801799231315,-0.08682646483942824,0.17952674193772222,0.02726853775107907,15.043478260869563,Stars
f114r,-0.022483047599139078,-0.038321110118194224,0.04977282206517859,-0.04786229703935986,-0.005311338161057826,0.0658904499149506,0.02460012671642644,0.004472399445547693,0.20066073849759075,0.0017449028758573792,0.13581358969179574,0.010689076092812062,-0.09342289621491956,0.06941486887543283,-0.0224748924071127,0.01952051045584402,-0.012262096422978454,-0.00046491010621309975,-0.018081212361413135,0.03512943953619868,-0.06220611629821622,-0.013194644169253943,-0.008350809193918188,0.04904719498096293,-0.0046522146878779855,-0.0015808107275042623,0.02388917292102216,-0.09613930432138407,0.04405876164215572,0.338025007465669,-16.956521739130437,Stars
f114v,-0.06068740568929197,-0.023822982638495305,0.03339599434940617,-0.0415773031574955,0.08649159607207405,0.0068349911783765205,0.008007001276106068,-0.001713715476523327,0.08797580394310228,0.0527540862592482,0.09829520438520917,0.007908105348624288,-0.028033004116584437,0.0556274339192486,-0.005412091907773947,-0.05854442830100025,-0.00029774228798395627,-0.00046491010621309975,0.06183770689155632,0.042001527241836034,-0.014991412996894951,-0.029923728179290156,0.018457748780051922,0.01323447173081152,0.0006007300511433576,0.001181620211722257,-0.09239866373093628,0.004933532392373707,0.1304932671616732,0.3885645157900415,-101.95652173913044,Stars
